Edge TPU Compiler version 16.0.384591198
Input: models/cube_detector_int8.tflite
Output: cube_detector_int8_edgetpu.tflite

Operator                       Count      Status

CUSTOM                         1          Operation is working on an unsupported data type
ADD                            42         Mapped to Edge TPU
CONCATENATION                  2          Mapped to Edge TPU
RESHAPE                        10         Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        12         Mapped to Edge TPU
LOGISTIC                       1          Mapped to Edge TPU
CONV_2D                        102        Mapped to Edge TPU
DEPTHWISE_CONV_2D              80         Mapped to Edge TPU
QUANTIZE                       1          Mapped to Edge TPU
QUANTIZE                       8          Operation is otherwise supported, but not mapped due to some unspecified limitation
DEQUANTIZE                     2          Operation is working on an unsupported data type
MAX_POOL_2D                    14         Mapped to Edge TPU
