timestamp,event,joint,value_rad,value_deg,unit,file,line,highlight
1772355710.276,Sent velocity command,C_joint,0.319,18.27735366467326,rad/s,log_1_3_2026,10,
1772355710.276,Sent position command,C_joint,0.00658,0.3770062291960817,rad,log_1_3_2026,12,
1772355710.326,Sent velocity command,C_joint,0.6,34.37746770784939,rad/s,log_1_3_2026,14,
1772355710.326,Sent position command,C_joint,0.03001,1.7194463431876004,rad,log_1_3_2026,16,
1772355710.376,Sent velocity command,C_joint,0.901,51.62349734128718,rad/s,log_1_3_2026,20,
1772355710.376,Sent position command,C_joint,0.06759,3.872621737289234,rad,log_1_3_2026,22,
1772355710.426,Sent velocity command,C_joint,1.2,68.75493541569878,rad/s,log_1_3_2026,24,
1772355710.426,Sent position command,C_joint,0.12,6.875493541569878,rad,log_1_3_2026,26,
1772355710.476,Updated motor position,motor_6,,0.0,deg,log_1_3_2026,29,***
1772355710.476,Sent velocity command,C_joint,1.501,86.00096504913655,rad/s,log_1_3_2026,30,
1772355710.476,Sent position command,C_joint,0.18766,10.752125983425028,rad,log_1_3_2026,32,
1772355710.526,Sent velocity command,C_joint,1.8,103.13240312354819,rad/s,log_1_3_2026,34,
1772355710.526,Sent position command,C_joint,0.27,15.469860468532229,rad,log_1_3_2026,36,
1772355710.576,Updated motor position,motor_6,,0.3,deg,log_1_3_2026,39,***
1772355710.576,Sent velocity command,C_joint,2.101,120.37843275698596,rad/s,log_1_3_2026,40,
1772355710.576,Sent position command,C_joint,0.36774,21.069949958140896,rad,log_1_3_2026,42,
1772355710.626,Sent velocity command,C_joint,2.4,137.50987083139756,rad/s,log_1_3_2026,44,
1772355710.626,Sent position command,C_joint,0.47998,27.500828250689253,rad,log_1_3_2026,46,
1772355710.676,Updated motor position,motor_6,,1.16,deg,log_1_3_2026,49,***
1772355710.676,Sent velocity command,C_joint,2.701,154.75590046483535,rad/s,log_1_3_2026,50,
1772355710.676,Sent position command,C_joint,0.60787,34.82838549261735,rad,log_1_3_2026,52,
1772355710.726,Sent velocity command,C_joint,3.0,171.88733853924697,rad/s,log_1_3_2026,54,
1772355710.726,Sent position command,C_joint,0.75,42.97183463481174,rad,log_1_3_2026,56,
1772355710.776,Updated motor position,motor_6,,1.79,deg,log_1_3_2026,59,***
1772355710.776,Sent velocity command,C_joint,3.154,180.71088858426165,rad/s,log_1_3_2026,60,
1772355710.776,Sent position command,C_joint,0.90534,51.87216102437395,rad,log_1_3_2026,62,
1772355710.826,Sent velocity command,C_joint,3.142,180.02333923010465,rad/s,log_1_3_2026,64,
1772355710.826,Sent position command,C_joint,1.06247,60.87504685926458,rad,log_1_3_2026,66,
1772355710.876,Updated motor position,motor_6,,3.49,deg,log_1_3_2026,69,***
